Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID,keywords_cleaned,Main Domain
Krithika S.; Priyadharshini A.R.; Bharathi Mohan G.; Gayathri M.,"Krithika, S. (58069360100); Priyadharshini, A.R. (58951092500); Bharathi Mohan, G. (56026524900); Gayathri, M. (57214302830)",58069360100; 58951092500; 56026524900; 57214302830,A MultiModal Neural Network Architecture for Document Image Classification,2024,"2024 15th International Conference on Computing Communication and Networking Technologies, ICCCNT 2024",,,,,,,0,10.1109/ICCCNT61001.2024.10725474,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211099760&doi=10.1109%2fICCCNT61001.2024.10725474&partnerID=40&md5=8d040e1a6bbab2863fa8ce2b44711dea,BERT; CNN; NLP; OCR; ViT,Conference paper,Final,,Scopus,2-s2.0-85211099760,"bert, cnn, nlp, ocr, vit",AI
Padmavathi A.; Skandha V.S.; Shrivishnu A.,"Padmavathi, A. (58999249700); Skandha, V.S. (59870055500); Shrivishnu, A. (59870055600)",58999249700; 59870055500; 59870055600,Multi-Step Instruction-Guided Editing for Neural Radiance Fields: Enhancing User Control in 3D Scene Manipulation,2024,"2024 1st International Conference on Data, Computation and Communication, ICDCC 2024",,,,730,736,6,0,10.1109/ICDCC62744.2024.10960952,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004794425&doi=10.1109%2fICDCC62744.2024.10960952&partnerID=40&md5=00724a7a4e35feb482075c8177802983,Instruction-Guided Editing; Multi-Step 3D Editing; NeRF; Neural Radiance Fields; Scene Modification,Conference paper,Final,,Scopus,2-s2.0-105004794425,"instruction-guided editing, multi-step 3d editing, nerf, neural radiance fields, scene modification",AI
Padmavathi A.; Maurya L.,"Padmavathi, A. (58999249700); Maurya, Laxmi (56031349400)",58999249700; 56031349400,Premature Birth Prediction Using Machine Learning Algorithms - A Comparative Analysis,2024,"Proceedings of International Conference on Contemporary Computing and Informatics, IC3I 2024",,,,55,59,4,0,10.1109/IC3I61595.2024.10828633,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217375781&doi=10.1109%2fIC3I61595.2024.10828633&partnerID=40&md5=1c74c4b6d07b714a10cbc606146f4fa0,accuracy; machine learning algorithms; predictive model; premature birth,Conference paper,Final,,Scopus,2-s2.0-85217375781,"accuracy, machine learning algorithms, predictive model, premature birth",Machine Learning
Viswanathan J.; Dinesh Kumar N.; Kumar S.U.,"Viswanathan, Jayaraj (59561627600); Dinesh Kumar, N. (59870047500); Kumar, S. Udhaya (59862687000)",59561627600; 59870047500; 59862687000,Zero Trust Security for Web Applications in Microservice-Based Environments,2024,"2024 1st International Conference on Data, Computation and Communication, ICDCC 2024",,,,488,494,6,0,10.1109/ICDCC62744.2024.10960955,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004796607&doi=10.1109%2fICDCC62744.2024.10960955&partnerID=40&md5=afd79e1a7e5637468c33276b53475b54,Adaptive Access Control; Cybersecurity; JWT Authentication; Mutual TLS; Web Application Security; Zero Trust Security,Conference paper,Final,,Scopus,2-s2.0-105004796607,"adaptive access control, cybersecurity, jwt authentication, mutual tls, web application security, zero trust security",Cybersecurity
Oviya I.R.; Vishnu S.; Anusha J.S.; Chatiyode V.; Priyanga S.; Charan K.K.S.,"Oviya, I.R. (55898310100); Vishnu, S. (59514436200); Anusha, Janani Srinivasan (56431137800); Chatiyode, Veda (59308427500); Priyanga, S. (59308427400); Charan, K. Kumara Siva (59460476000)",55898310100; 59514436200; 56431137800; 59308427500; 59308427400; 59460476000,Enhanced Brain Tumor Segmentation using UNet3D: A Deep Learning Perspective,2024,"2024 15th International Conference on Computing Communication and Networking Technologies, ICCCNT 2024",,,,,,,0,10.1109/ICCCNT61001.2024.10725309,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211143428&doi=10.1109%2fICCCNT61001.2024.10725309&partnerID=40&md5=0fa72839459d80a9a22a7a7c04d786b1,Brain tumors; Gliomas; Multimodal MRI; Segmentation; U-Net,Conference paper,Final,,Scopus,2-s2.0-85211143428,"brain tumors, gliomas, multimodal mri, segmentation, u-net",Others
Kumar R.P.; Spandana C.; Srisurya I.V.; Priyadharshini A.R.; Krithika S.; Sai G.D.; Venkatraman K.,"Kumar, R. Prasanna (58196810600); Spandana, Chereddy (58136536500); Srisurya, Ippatapu Venkata (57939759700); Priyadharshini, A.R. (58951092500); Krithika, S. (58069360100); Sai, Gudivada Dhyana (58565801000); Venkatraman, K. (56687714800)",58196810600; 58136536500; 57939759700; 58951092500; 58069360100; 58565801000; 56687714800,Enhancing Computation Offloading In Wireless-Powered Mobile-Edge Computing Networks With Deep Reinforcement Learning For Online Optimization,2024,"2024 4th International Conference on Advances in Electrical, Computing, Communication and Sustainable Technologies, ICAECT 2024",,,,,,,0,10.1109/ICAECT60202.2024.10469303,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190116069&doi=10.1109%2fICAECT60202.2024.10469303&partnerID=40&md5=2fefa9c4da79bcbebc0272613de82fec,access points; component; Mobile-edge computing; radio-frequency; reinforcement learning; resource allocation; Wireless Devices; WPT,Conference paper,Final,,Scopus,2-s2.0-85190116069,"access points, component, mobile-edge computing, radio-frequency, reinforcement learning, resource allocation, wireless devices, wpt",Networks
Padmavathi A.; Shashini V.; Ryan J.C.,"Padmavathi, A. (58999249700); Shashini, V. (59459443300); Ryan, J. Collin (59459689800)",58999249700; 59459443300; 59459689800,Suraksha: Advanced SOS Android App with Intelligent Spam Alert Management and Collaborative Decision-Making,2024,"2024 15th International Conference on Computing Communication and Networking Technologies, ICCCNT 2024",,,,,,,0,10.1109/ICCCNT61001.2024.10724533,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211084080&doi=10.1109%2fICCCNT61001.2024.10724533&partnerID=40&md5=bb6dc9541f1c00844e1a4e76bbf61471,Android; Convulated neural networking; Gesture; GPS; Isolation Forest; Machine learning; Registered Contacts; Transmission protocols,Conference paper,Final,,Scopus,2-s2.0-85211084080,"android, convulated neural networking, gesture, gps, isolation forest, machine learning, registered contacts, transmission protocols",AI
Srish N.; Sridharan S.; Udhaya Kumar S.,"Srish, N. (58899169000); Sridharan, S. (58102042600); Udhaya Kumar, S. (57190392554)",58899169000; 58102042600; 57190392554,TeleForensic: Delving into Digital Evidence with CDR Forensics,2024,"2024 IEEE International Conference on Blockchain and Distributed Systems Security, ICBDS 2024",,,,,,,0,10.1109/ICBDS61829.2024.10837446,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218005887&doi=10.1109%2fICBDS61829.2024.10837446&partnerID=40&md5=92ffeb1b571ab7aa2341ad061e0089e1,AI- Artificial Intelligence; CDR- Call Data Records,Conference paper,Final,,Scopus,2-s2.0-85218005887,"ai- artificial intelligence, cdr- call data records",Others
Annamalai R.; Bharathraj S.; Dharaneesh G.G.,"Annamalai, R. (57210211908); Bharathraj, S. (58907939000); Dharaneesh, G.G. (59395872900)",57210211908; 58907939000; 59395872900,BrMEPS: Review on 3D Body Reconstruction and Measurement Estimation for Personalized Clothing,2024,Lecture Notes in Electrical Engineering,1195 LNEE,,,737,750,13,0,10.1007/978-981-97-3442-9_52,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208194784&doi=10.1007%2f978-981-97-3442-9_52&partnerID=40&md5=2a3d155d27b31988785673d14613f453,3D reconstruction; A-Pose; CNN; MPI-INF-3DHP; MPJPE; PCK; Pose estimation; SMPL; UAV,Conference paper,Final,,Scopus,2-s2.0-85208194784,"3d reconstruction, a-pose, cnn, mpi-inf-3dhp, mpjpe, pck, pose estimation, smpl, uav",AI
Sree V.V.V.B.; Bharathi Mohan G.; Prasanna Kumar R.; Rithani M.; Pallavi G.,"Sree, V. V. V. Bhagya (58674363500); Bharathi Mohan, G. (56026524900); Prasanna Kumar, R. (58196810600); Rithani, M. (58307332200); Pallavi, Gundala (58996946100)",58674363500; 56026524900; 58196810600; 58307332200; 58996946100,AMOSI:Attention-Based Multimodal Sentiment Intensity Analysis with LSTM-CNN Architecture for Online Opinion Videos,2024,"2024 15th International Conference on Computing Communication and Networking Technologies, ICCCNT 2024",,,,,,,1,10.1109/ICCCNT61001.2024.10725013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211159604&doi=10.1109%2fICCCNT61001.2024.10725013&partnerID=40&md5=d1fee17914331449005c70f5d53ce67c,AMOSI; Attention; CNN; LSTM; MultiModal,Conference paper,Final,,Scopus,2-s2.0-85211159604,"amosi, attention, cnn, lstm, multimodal",AI
Arulmozhi C.; Diviya M.,"Arulmozhi, C. (59749838100); Diviya, M. (57191361356)",59749838100; 57191361356,Assessing Machine Learning Algorithms for Stress Prediction: A Healthcare Perspective,2024,"Proceedings of the 2024 International Conference on Artificial Intelligence and Emerging Technology, Global AI Summit 2024",,,,563,568,5,0,10.1109/GlobalAISummit62156.2024.10947946,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003162223&doi=10.1109%2fGlobalAISummit62156.2024.10947946&partnerID=40&md5=ba29c7dab5d2e1b0b678085c2a06958c,Cortisol levels; Diabetes; Healthcare data; Healthcare interventions; HOMA-IR; Insulin levels; Machine learning Algorithms; Predictive accuracy; Stress prediction,Conference paper,Final,,Scopus,2-s2.0-105003162223,"cortisol levels, diabetes, healthcare data, healthcare interventions, homa-ir, insulin levels, machine learning algorithms, predictive accuracy, stress prediction",Machine Learning
Baghavathi Priya S.; Srinivasan Anusha J.; Priyanga S.; Chatiyode V.,"Baghavathi Priya, S. (55330691900); Srinivasan Anusha, Janani (59400205500); Priyanga, S. (59308427400); Chatiyode, Veda (59308427500)",55330691900; 59400205500; 59308427400; 59308427500,Crypto Prophets: Machine Learning Oracles for Price Forecasting,2024,"2024 International Conference on Integration of Emerging Technologies for the Digital World, ICIETDW 2024",,,,,,,0,10.1109/ICIETDW61607.2024.10941381,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002886626&doi=10.1109%2fICIETDW61607.2024.10941381&partnerID=40&md5=4ea0fd62bd1ac7c2b575f1b413da6ab4,Cryptocurrency; Financial Technology; Machine Learning; Market Volatility; Predictive Analytics; Price prediction,Conference paper,Final,,Scopus,2-s2.0-105002886626,"cryptocurrency, financial technology, machine learning, market volatility, predictive analytics, price prediction",Machine Learning
Supritha R.; Bharathi Mohan G.,"Supritha, R. (59265995800); Bharathi Mohan, G. (56026524900)",59265995800; 56026524900,Deep Learning for Autism Detection Using Eye Tracking Scanpaths,2024,"2024 IEEE International Conference on Interdisciplinary Approaches in Technology and Management for Social Innovation, IATMSI 2024",,,,,,,7,10.1109/IATMSI60426.2024.10502546,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192252816&doi=10.1109%2fIATMSI60426.2024.10502546&partnerID=40&md5=22b401acac16c1291bb9110de7d2223e,Autism spectrum disorder; Deep learning; eye tracking; Typical Control,Conference paper,Final,,Scopus,2-s2.0-85192252816,"autism spectrum disorder, deep learning, eye tracking, typical control",AI
Sai Sarath Chandu K.; Rakshith A.; Nivethitha V.; Sriram S.,"Sai Sarath Chandu, K. (59558466900); Rakshith, A. (57221462061); Nivethitha, V. (55616349600); Sriram, Suthir (55612195000)",59558466900; 57221462061; 55616349600; 55612195000,Turning Images into Words: A Neural Approach to Image Captioning Using VGG16 and LSTM,2024,"IEEE International Conference on Electronic Systems and Intelligent Computing, ICESIC 2024 - Proceedings",,,,239,244,5,0,10.1109/ICESIC61777.2024.10846150,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217845153&doi=10.1109%2fICESIC61777.2024.10846150&partnerID=40&md5=6db2b478655abb42c4220dbe18406a6e,Computer Vision; Deep learning; Feature Extraction; Image Captioning; Sequence generation; visually impaired,Conference paper,Final,,Scopus,2-s2.0-85217845153,"computer vision, deep learning, feature extraction, image captioning, sequence generation, visually impaired",Image Processing
Karthikeyan; Anitha K.; Kashyap A.,"Karthikeyan (59702790900); Anitha, K. (57304750200); Kashyap, Acchute (59703759900)",59702790900; 57304750200; 59703759900,Enhanced Image Analysis for Detecting Malaria Infection in Blood Samples,2024,"2024 IEEE Pune Section International Conference, PuneCon 2024",,,,,,,0,10.1109/PuneCon63413.2024.10895808,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000642173&doi=10.1109%2fPuneCon63413.2024.10895808&partnerID=40&md5=be82f0d4529ebe0f789c2e8e256ea2e5,CNN; DL; Feature Extraction; Image Processing; Medical Imaging; Microscopy,Conference paper,Final,,Scopus,2-s2.0-105000642173,"cnn, dl, feature extraction, image processing, medical imaging, microscopy",AI
Baghavathi Priya S.; Siddharth S.; Akashvarma M.,"Baghavathi Priya, S. (55330691900); Siddharth, S. (57210222817); Akashvarma, M. (59307497800)",55330691900; 57210222817; 59307497800,Advancing Stuttering Detection with Time Delay Neural Networks and Attention Mechanism,2024,"2024 1st International Conference on Data, Computation and Communication, ICDCC 2024",,,,218,223,5,0,10.1109/ICDCC62744.2024.10961858,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004792455&doi=10.1109%2fICDCC62744.2024.10961858&partnerID=40&md5=06cce9c63f691c45f0e49aad2d8286d6,component; formatting; insert; style; styling,Conference paper,Final,,Scopus,2-s2.0-105004792455,"component, formatting, insert, style, styling",Others
Sasikala D.; Fazil S.H.,"Sasikala, D. (57200240595); Fazil, Shaik Huzaifa (58765448700)",57200240595; 58765448700,Enhancing Communication: Utilizing Transfer Learning for Improved Speech-to-Text Transcription,2024,"2024 15th International Conference on Computing Communication and Networking Technologies, ICCCNT 2024",,,,,,,0,10.1109/ICCCNT61001.2024.10725694,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212936823&doi=10.1109%2fICCCNT61001.2024.10725694&partnerID=40&md5=22136df2f8408d25e12204d5e6ecefa8,Automatic Speech Recognition (ASR); speech-to-text; Transfer Learning; wav2vec; Word Error Rate,Conference paper,Final,,Scopus,2-s2.0-85212936823,"automatic speech recognition (asr), speech-to-text, transfer learning, wav2vec, word error rate",Others
Apurupa M.; Sngh H.,"Apurupa, Manchikanti (59320979900); Sngh, Harsh (59320980000)",59320979900; 59320980000,EmotiGuard: Real-Time Human Emotion Recognition System for Adult Monitoring,2024,"2024 International Conference on Signal Processing, Computation, Electronics, Power and Telecommunication, IConSCEPT 2024 - Proceedings",,,,,,,0,10.1109/IConSCEPT61884.2024.10627881,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203544397&doi=10.1109%2fIConSCEPT61884.2024.10627881&partnerID=40&md5=0def37e74dfd6509647b646d886fac5a,Jetson nano; Machine learning; Mobile Net model; Model Training,Conference paper,Final,,Scopus,2-s2.0-85203544397,"jetson nano, machine learning, mobile net model, model training",Machine Learning
Yaythish Kannaa K.G.; Dennis Joshua D.; Chellamani G.K.; Manoj Prabhakaran K.,"Yaythish Kannaa, K.G. (58706681400); Dennis Joshua, D. (57886875100); Chellamani, Ganesh Kumar (57140321100); Manoj Prabhakaran, K. (59218957900)",58706681400; 57886875100; 57140321100; 59218957900,CrackVision: A Fusion of Deep Learning and Image Processing for Comprehensive Wall Crack Detection and Analysis,2024,"2024 3rd International Conference on Artificial Intelligence for Internet of Things, AIIoT 2024",,,,,,,3,10.1109/AIIoT58432.2024.10574570,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198559068&doi=10.1109%2fAIIoT58432.2024.10574570&partnerID=40&md5=bf73defb76e11107153cafd917129bfa,Edge Detection; Jetson Nano; Neural Networks; Object Detection; YOLO,Conference paper,Final,,Scopus,2-s2.0-85198559068,"edge detection, jetson nano, neural networks, object detection, yolo",AI
Abhinandhan S.; Sreedevi A.G.,"Abhinandhan, S. (57575252300); Sreedevi, A.G. (57209650658)",57575252300; 57209650658,Parkinson's Disease Diagnosis: Integrating Decision Trees and Random Forest,2024,"Proceedings of the 18th INDIAcom; 2024 11th International Conference on Computing for Sustainable Global Development, INDIACom 2024",,,,332,338,6,0,10.23919/INDIACom61295.2024.10498285,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191729869&doi=10.23919%2fINDIACom61295.2024.10498285&partnerID=40&md5=4e6ceb880d659d843f7374adc96cb808,Decision Trees; Diagnosis; healthcare; Machine learning; Parkinson's disease; personalized treatment; Quality of life; Random Forest,Conference paper,Final,,Scopus,2-s2.0-85191729869,"decision trees, diagnosis, healthcare, machine learning, parkinson's disease, personalized treatment, quality of life, random forest",Machine Learning
Krishna P.M.; Kumar D.B.; Ashwini K.,"Krishna, Pothala Mohan (59700080900); Kumar, Dwarapureddi Bharath (59699308600); Ashwini, K. (57201090437)",59700080900; 59699308600; 57201090437,Malware Detection in Image Data: A Deep Learning Approach,2024,"Proceedings - IEEE 5th International Conference on Communication, Computing and Industry 6.0 2024, C2I6 2024",,,,,,,0,10.1109/C2I663243.2024.10894877,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000402825&doi=10.1109%2fC2I663243.2024.10894877&partnerID=40&md5=7a5bc1e8e34d30c685af17af867b78a2,Convolutional Neural Networks (CNN); Deep Learning; Malware Detection; ResNet50,Conference paper,Final,,Scopus,2-s2.0-105000402825,"convolutional neural networks (cnn), deep learning, malware detection, resnet50",AI
Ragul M.; Veluchamy S.,"Ragul, M. (59307406900); Veluchamy, S. (6506644033)",59307406900; 6506644033,"Deep Transfer Learning Empowered Facial Features based Age,Gender and Ethnicity Prediction System",2024,"2024 5th International Conference on Innovative Trends in Information Technology, ICITIIT 2024",,,,,,,1,10.1109/ICITIIT61487.2024.10580121,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199152441&doi=10.1109%2fICITIIT61487.2024.10580121&partnerID=40&md5=46040fb4b60a754c93c785bd4ffea2c6,Computer vision; Confusion matrix; Convolutional neural network; Deep learning; VGG16,Conference paper,Final,,Scopus,2-s2.0-85199152441,"computer vision, confusion matrix, convolutional neural network, deep learning, vgg16",Image Processing
Krushna B.V.; Sasikala D.,"Krushna, Bode Vamsi (58674400100); Sasikala, D. (57200240595)",58674400100; 57200240595,Comparative Analysis of Machine Learning Models for Water Quality Prediction,2024,"2024 4th International Conference on Advances in Electrical, Computing, Communication and Sustainable Technologies, ICAECT 2024",,,,,,,3,10.1109/ICAECT60202.2024.10468812,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190105724&doi=10.1109%2fICAECT60202.2024.10468812&partnerID=40&md5=235ada8d7fe87e2d5b4dacb659022d26,Decision Trees; Gaussian Naive Bayes; Logistic Regression; Machine learning; Random Forest; SVM; Water quality management; XGBoost,Conference paper,Final,,Scopus,2-s2.0-85190105724,"decision trees, gaussian naive bayes, logistic regression, machine learning, random forest, svm, water quality management, xgboost",Machine Learning
Bardia V.; Prabu M.,"Bardia, Viksith (59404117700); Prabu, M. (55778146006)",59404117700; 55778146006,Printed Circuit Board Defect Detection Using CNN Based Deep Learning Technique,2024,"Proceedings - 4th International Conference on Technological Advancements in Computational Sciences, ICTACS 2024",,,,1683,1689,6,0,10.1109/ICTACS62700.2024.10840548,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218199672&doi=10.1109%2fICTACS62700.2024.10840548&partnerID=40&md5=01029d80da93bf03760f33ec4adbfc18,CNN; Computer Vision (CV); Deep Learning; PCB inspection; Printed Circuit Board,Conference paper,Final,,Scopus,2-s2.0-85218199672,"cnn, computer vision (cv), deep learning, pcb inspection, printed circuit board",AI
Rasool S.A.; Annamalai R.; Natarajan B.,"Rasool, Shaik Atheeq (59094438200); Annamalai, R. (57210211908); Natarajan, B. (57288886700)",59094438200; 57210211908; 57288886700,Efficient Underwater Object Detection Using Deep Neural Networks,2024,"Proceedings - International Conference on Computing, Power, and Communication Technologies, IC2PCT 2024",,,,1706,1711,5,2,10.1109/IC2PCT60090.2024.10486320,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191150386&doi=10.1109%2fIC2PCT60090.2024.10486320&partnerID=40&md5=a0a9e3196703706437f667a9f49533bd,Convolutional Neural Net- work; Faster R-CNN; Object Detection,Conference paper,Final,,Scopus,2-s2.0-85191150386,"convolutional neural net- work, faster r-cnn, object detection",AI
Subba Rao P.V.R.; Polisetty V.R.M.; Jayanth K.K.; Sai Manoj N.V.; Mohith V.; Kumar R.P.,"Subba Rao, P.V.R. (57207918715); Polisetty, Venkata Ramana Murthy (58916160500); Jayanth, K Krishna (58981135400); Sai Manoj, N.V. (58765654800); Mohith, Vankadari (57219120829); Kumar, R. Prasanna (58196810600)",57207918715; 58916160500; 58981135400; 58765654800; 57219120829; 58196810600,Deep Adaptive Algorithms for Local Urban Traffic Control: Deep Reinforcement Learning with DQN,2024,"2nd International Conference on Intelligent Data Communication Technologies and Internet of Things, IDCIoT 2024",,,,592,598,6,5,10.1109/IDCIoT59759.2024.10467630,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190133717&doi=10.1109%2fIDCIoT59759.2024.10467630&partnerID=40&md5=f0be69bbd518ed6001b0d71ee1977590,Congestion Reduction; Deep Reinforcement Learning; DQN Architecture; Epsilon-Greedy Exploration; SUMO; Traffic Signal Control,Conference paper,Final,,Scopus,2-s2.0-85190133717,"congestion reduction, deep reinforcement learning, dqn architecture, epsilon-greedy exploration, sumo, traffic signal control",Others
Snehalakshmi S.; Sridar R.M.; Devanathan B.; Lakshmanan S.A.,"Snehalakshmi, S. (58670530000); Sridar, Ratika M. (59494014800); Devanathan, B. (58947641300); Lakshmanan, S.A. (57213938362)",58670530000; 59494014800; 58947641300; 57213938362,Smart Safety Surveillance System: Personal Protective Equipment and Drowsiness Detection in Industrial Environments,2024,"2024 15th International Conference on Computing Communication and Networking Technologies, ICCCNT 2024",,,,,,,0,10.1109/ICCCNT61001.2024.10724032,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213514654&doi=10.1109%2fICCCNT61001.2024.10724032&partnerID=40&md5=7140fd8a0846263feaf835d5f9befc37,cameras and compliance monitoring; Drowsiness Detection; facial expressions; Personal Protective Equipment; safer work environment,Conference paper,Final,,Scopus,2-s2.0-85213514654,"cameras and compliance monitoring, drowsiness detection, facial expressions, personal protective equipment, safer work environment",Computer Vision
Anvitha V.; Maheswari V.U.,"Anvitha, Vemireddy (57741150900); Maheswari, V. Uma (57365567600)",57741150900; 57365567600,Improving Disaster Response with U-Net and Attention Mechanism in Earthquake Damage Assessment Using Remote Sensing Data,2024,Lecture Notes in Electrical Engineering,1195 LNEE,,,207,218,11,0,10.1007/978-981-97-3442-9_14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208202165&doi=10.1007%2f978-981-97-3442-9_14&partnerID=40&md5=48fbabf8c53fc521f438f65d8639df9c,Attention mechanism; Building damage; Change detection; Disaster; Remote sensing images; U-Net,Conference paper,Final,,Scopus,2-s2.0-85208202165,"attention mechanism, building damage, change detection, disaster, remote sensing images, u-net",Others
Rohan Reddy B.; Chokkalingam S.P.,"Rohan Reddy, B. (58915981300); Chokkalingam, S.P. (55327831700)",58915981300; 55327831700,Advanced Baggage Security Screening Framework: Integration Of Yolov9 For Contraband Detection And Threat Mitigation,2024,"2024 15th International Conference on Computing Communication and Networking Technologies, ICCCNT 2024",,,,,,,0,10.1109/ICCCNT61001.2024.10725728,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212815401&doi=10.1109%2fICCCNT61001.2024.10725728&partnerID=40&md5=aafa99b74dd1f61e988747fea4d060a4,Contraband detection; Prohibited objects Classification; X-Ray security inspection; YOLO-NAS; YOLOv8; YOLOv9,Conference paper,Final,,Scopus,2-s2.0-85212815401,"contraband detection, prohibited objects classification, x-ray security inspection, yolo-nas, yolov8, yolov9",Machine Learning
Aggarwal P.; Ashwini K.,"Aggarwal, Priyanshu (59227171000); Ashwini, K. (57201090437)",59227171000; 57201090437,A Novel Image Encryption Technique Leveraging Irrational Expansions and New 3D Chaotic Map,2024,"5th International Conference on Circuits, Control, Communication and Computing, I4C 2024",,,,503,508,5,0,10.1109/I4C62240.2024.10748503,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211924571&doi=10.1109%2fI4C62240.2024.10748503&partnerID=40&md5=b80073a26ad2e241e46283b76a62105e,Chaotic Map; Data Security; Encryption; Irrational Expansion,Conference paper,Final,,Scopus,2-s2.0-85211924571,"chaotic map, data security, encryption, irrational expansion",Cybersecurity
Prasanna Kumar R.; Bharathi Mohan G.; Rithani M.; Pallavi G.,"Prasanna Kumar, R. (58196810600); Bharathi Mohan, G. (56026524900); Rithani, M. (58307332200); Pallavi, Gundala (58996946100)",58196810600; 56026524900; 58307332200; 58996946100,MBTI Based Personality Prediction using Social Media Data,2024,"2024 15th International Conference on Computing Communication and Networking Technologies, ICCCNT 2024",,,,,,,1,10.1109/ICCCNT61001.2024.10724820,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211091106&doi=10.1109%2fICCCNT61001.2024.10724820&partnerID=40&md5=0856e2e4c10f16cfad91efb30d75a477,Logistic regression; Myers-Briggs personality types; Naïve Bayes; NLTK; Personality prediction; Random Forest; SVM,Conference paper,Final,,Scopus,2-s2.0-85211091106,"logistic regression, myers-briggs personality types, naïve bayes, nltk, personality prediction, random forest, svm",Others
Chadha A.R.; Reddy K.K.; Sountharrajan S.,"Chadha, Angela Raj (58924451500); Reddy, Kethamreddy Karthikeya (58765532400); Sountharrajan, S. (57192169178)",58924451500; 58765532400; 57192169178,RLAD: Reinforcement Learning based Anomaly Detection system for IoT devices in smart homes,2024,"2024 15th International Conference on Computing Communication and Networking Technologies, ICCCNT 2024",,,,,,,0,10.1109/ICCCNT61001.2024.10724974,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211159946&doi=10.1109%2fICCCNT61001.2024.10724974&partnerID=40&md5=b4c45804bad000f3c3178a83f1f70cad,Anomaly; Intrusion; Metadata Stream; Reinforcement learning,Conference paper,Final,,Scopus,2-s2.0-85211159946,"anomaly, intrusion, metadata stream, reinforcement learning",Smart Cities
Padmavathi A.; Lahari B.; Thanuja U.; Dwaram H.,"Padmavathi, A. (58999249700); Lahari, Bongu (59659713000); Thanuja, Udatha (59660276500); Dwaram, Harshitha (59659148100)",58999249700; 59659713000; 59660276500; 59659148100,Unlocking Insights: Generating Synthetic Data with GANs Across Diverse Datasets,2024,"2024 4th International Conference on Artificial Intelligence and Signal Processing, AISP 2024",,,,,,,0,10.1109/AISP61711.2024.10870618,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219119543&doi=10.1109%2fAISP61711.2024.10870618&partnerID=40&md5=858e4be2bec80a8a5e26a0a30a41d2bb,adversarial; Adversarial training; Breakthroughs; Constrained practice of data; Deep learning; Extracting patterns; Generative modelling; Novel paradigm,Conference paper,Final,,Scopus,2-s2.0-85219119543,"adversarial, adversarial training, breakthroughs, constrained practice of data, deep learning, extracting patterns, generative modelling, novel paradigm",AI
Padmavathi A.; Sai D.S.; Asa S.; Gowda Y.L.,"Padmavathi, A. (58999249700); Sai, Devareddy Sashank (59074495200); Asa, Suraj (59076097700); Gowda, Yashas L. (59075560000)",58999249700; 59074495200; 59076097700; 59075560000,Secure Crime Investigation Data with AWS Service,2024,Lecture Notes in Networks and Systems,864,,,373,387,14,4,10.1007/978-981-99-8628-6_32,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192500730&doi=10.1007%2f978-981-99-8628-6_32&partnerID=40&md5=5755cc6e14f8e02ca75d042927e6ef5f,Authenticity; AWS; Digital forensics; Encryption; Framework; Traceability,Conference paper,Final,,Scopus,2-s2.0-85192500730,"authenticity, aws, digital forensics, encryption, framework, traceability",Cybersecurity
